,"If you want to contribute to this spreadsheet, please click the link below:",,,,,,,
,https://forms.gle/YYaZ9R6k6NhXZBqj7,,,,,,,
Timestamp,What year did you start your first job?,In what industry was this job?,What was your role?,What was your monthly salary (in PHP)?,What school did you graduate from?,What is your gender?,Did you negotiate your job offer?,"If you can provide additional context to any of your answers above, you can do so here."
1/22/2020 19:21:16,2014,Market Research,Research Associate,17000,UP Diliman,Female,No,"No OT pay. Technically, there is, but most just take offset (go to work 1-1.5 hours later, then OT again) because of the impracticality of the terms. Allowance of 1k cash + 500 GC after regularization."
1/22/2020 19:28:45,2012,IT,Programmer,22000,DLSU,Male,No,
1/22/2020 19:30:36,2019,Tourism,Content Writer,12000,Miriam College,Female,Yes,"They asked me the lowest figure I could get. I own 10k a month, 2k from food allowance, natira yan sa benefits ko. Also, ang aking salary ay per day, 558 pesos everyday "
1/22/2020 19:33:46,2012,Tech,Jr. Software Engineer,15000,St. Paul Manila,Male,No,13000 upon signing 15000 upon regularization. :)
1/22/2020 19:40:03,2009,Finance,Client Services Support Staff,18000,UST,Female,No,Never really cared about the how much the offer was back then so I never haggled. My goal was to work for “that” firm and I was more than happy when I got the offer. 
1/22/2020 19:41:43,2016,Government,Executive Assistant,33000,UP Diliman,Male,No,"The government has set salary grades, so I couldn't haggle. I wasn't qualified (by years of experience) for the next position, so I took the offer."
1/22/2020 19:43:06,2014,Government Project - Media,Production Manager for a Radio Drama,15000,UP Diliman,Female,No,
1/22/2020 19:43:46,2011,Media/TV,Marketing and Research Coordinator ,20000,Ateneo de Manila University ,Female ,No,
1/22/2020 19:43:56,2016,Government,Extension Officer II,15000,University of the Philippines Los Baños,F,No,
1/22/2020 19:45:32,2017,International Government Organization - Environmental Science,Sub-Consultant,18000,Ateneo de Manila University,Female,No,
1/22/2020 19:46:53,2006,FMCG,Management Trainee,38000,Ateneo de Manila University,Female,No,
1/22/2020 19:47:01,2018,Cloud,DevOps,350000,UP Diliman,Male,Yes,
1/22/2020 19:49:38,2014,Media,Journalist,20000,University of the Philippines ,Female,No,"The basic pay in the company I worked for was set. Any raises would depend on your performance, but nothing substantial. "
1/22/2020 19:52:14,2011,Banking,Management Trainee,18000,UP Diliman,Female,No,"1) We were paid 14 months; 2) After 6 months as management trainee, we were promoted with a 22,000 salary per month. "
1/22/2020 19:54:16,2018,Land Development,Junior Architect,13000,UST,Male,No,
1/22/2020 19:57:27,2015,Shared Service/BPO,Purchasing Associate,28000,DLSU,Male,Yes,"I asked for 30-40k, I got 28k"
1/22/2020 19:58:25,2017,Management consulting ,Analyst,150000,AdMU,Male,No,"In general, international companies pay higher for entry level positions, especially in consulting and some finance roles. But do not be mesmerized by the pay; only join if you are truly passionate about the work. These roles are often stressful and incredibly time consuming (working well past dinner and sometimes on weekends). If possible, start by going for an industry you are interested in, try to find a reputable company in that industry, and go for a role there. As a fresh grad, i wouldn't worry too much about starting with a lower pay provided the working conditions and other benefits are good. "
1/22/2020 20:05:06,2018,Construction,Project Architect,18000,DLS-CSB,Male,Yes,"I technically got a higher salary because the owner is a really close friend of my relative. But usually the first salary for architecture graduates is 14,500.00 PHP only. Sometimes lower pa."
1/22/2020 20:05:11,2019,Retail,Merchandising Assistant,17000,UP Diliman,Female,Yes,
1/22/2020 20:09:08,2012,Real Estate,Property Consultant,18000,UST,Male,No,"Good luck, Deirdre! Just PM me if you need additional context. 

Oh side note, I was referred into the job by a family friend. 

-Vince"
1/22/2020 20:22:32,2019,Education,Project Research Assistant,20000,UP Diliman,Female,No,it was a contractual position so no benefits
1/22/2020 20:23:17,2017,Food Industry,"Ghostwriter, Researcher",5000,Silliman University,Male,Yes,"First job was a P20,000 contract to ghostwrite and research for a book of 10,000 to 20,000 words over a span of four months. Boss ended up paying only 5,000 after I brought up the possibility of negotiating my paycheck when we mutually decided to increase the workload to two books of 30,000 words each. I quit right after."
1/22/2020 20:24:09,2012,Cosmetics,Assistant Operations Manager,20000,UP Diliman,Female,No,
1/22/2020 20:24:17,2018,Digital Marketing,Digital Marketing Supervisor,15000,Ateneo de Manila University,Female,No,"I wanted to price myself low since I didn't have much skills and accomplishments on my resume. I know I should have asked for higher, but I set myself at a lower standard just to get a job."
1/22/2020 21:12:07,2017,Design and construction,Junior Architect,12000,Saint Louis University,Male,No,
1/22/2020 21:15:14,2016,Construction,Office Engineer,18000,,,,
1/22/2020 21:21:16,2017,Healthcare,Staff Nurse,11000,Saint Louis University,Female,No,
1/22/2020 21:23:11,2012,BPO,Sourcing Specialist,14000,UP Diliman,Biological Female,No,"I went through dozens of interviews, some even offering less than minimum wage or posts through agencies, before finding this job that gave me more than minimum wage."
1/22/2020 21:32:22,2018,BPO,Product & Environmental Compliance Engineer,20000,UP,Female,Yes,
1/22/2020 21:41:37,2012,Retail ,clothing designer,18000,Fashion Institute of the 0,Philippines ,No,
1/22/2020 21:45:14,2016,Healthcare,Therapist,16000,UP Diliman,Female,No,16000 net; 20000 gross
1/22/2020 21:48:58,2017,Tech,Research and Development Specialist,23000,Malayan Colleges Laguna,Female,No,
1/22/2020 21:49:41,2004,HR Services,Headhunter,8000,Ateneo de Manila University,Female,No,
1/22/2020 21:51:52,2010,BPO,Management Trainee,17000,Ateneo de Manila University,Male,No,
1/22/2020 22:08:48,2018,Non-profit/Development Work,NGO Worker,22000,Polytechnic University of the Philippines,Male,No,"Monthly salary is 20000, gross is 22000"
1/22/2020 22:20:23,2018,Cooperative,Accountant,19000,Mindanai State University - Iligan Institute of Technology,Female,No,
1/22/2020 22:23:51,2014,Banking,Bank Teller,15000,University of Santo Tomas,Female,No,A fellow new hire and I compared starting salaries. They offered her 13k. I remember HR telling me about Latin honors being a factor. A friend also referred me into the job so I'm guessing that was a factor as well.
1/22/2020 22:24:37,2015,Education,Administrative Staff ,19500,University of Santo Tomas,Female,No,
1/22/2020 22:32:51,2015,Hospitality,Food Attendant,12870,Up Diliman,Female,No,"Minimum wage job in an industry where experience is the only way to get you up the ranks. Alma mater might help, but years of experience in the industry speaks louder. "
1/22/2020 22:33:49,2016,Power,Data Analyst,28000,UPLB,Female,Yes,"I was supposed to be paid at 35,000 but the manager was told he couldn’t do that because despite the value I bring to the company, the 35,000 would be higher than the accountant who has been working with them for 3 years."
1/22/2020 22:35:54,2017,BPO/Education,Writing tutor,18000,University of the Philippine,Male,No,
1/22/2020 22:47:46,2013,Shared Services,Data Analyst,18000,"Saint Louis University, Baguio",M,No,Additional 7000 monthly as shift allowance
1/22/2020 22:48:21,2017,Retail,Sales Support Team Supervisor,28000,UP Diliman,Male,No,
1/22/2020 23:00:49,2013,IT,Technical Rep,14000,TIP Manila,Female,No,
1/22/2020 23:03:07,2016,Healthcare,Clinical Pharmacist,14000,Saint Louis University,Female,No,"Basic salary, excluding benefits"
1/22/2020 23:20:29,2018,Recruitment,Sourcer,18000,De La Salle University,Female,No,I initially asked for 20k but got 18k in my offer.
1/22/2020 23:21:04,2011,Digital Marketing,Jr. Web Developer,20000,Asia Pacific College,Lesbian,Yes,
1/22/2020 23:36:21,2015,Start-Up; Food Production,Operations Manager,12000,ADMU,F,Yes,
1/22/2020 23:41:40,2016,Fintech,Product consultant ,92000,UPD,Female,No,"There was a language premium on top of the basic salary when you speak another language; hence, the larger than usual compensation "
1/22/2020 23:45:50,2014,Aviation,Customer Service Agent,14200,UST,Female,Yes,"They gave us an allowance of PHP 2,000 per month for food and transpo. There was the benefit of free flights, but only for yourself, spouse, and children."
1/22/2020 23:46:20,2019,Research,Research Assistant,14400,UP Diliman,Male,No,
1/23/2020 0:08:22,2011,Publishing,Editorial assistant,12000,ADMU,F,No,
1/23/2020 0:34:21,2009,HR Services,Recruitment Associate,13000,Pamantasan ng Lungsod ng Maynila,Female,No,
1/23/2020 1:31:09,2018,Advertising,Art Director,18000,UP Diliman,Male,Yes,"Nego was rejected. Apparently, the agency only has an allotted ""budget"" for fresh grad hires."
1/23/2020 1:50:54,2017,Hospitality,Reservations and Sales,15000,,Male,Yes,
1/23/2020 2:25:24,2014,Manufacturing,Process Engineer,25000,UP-Diliman,Male,No,
1/23/2020 4:20:36,2015,IT,JPN-ENG translator,40000,UP Diliman,Female,Yes,
1/23/2020 4:42:12,2015,Banking,Management Trainee,35000,University of the Philippines,Female,No,
1/23/2020 5:51:53,2012,Real Estate,Strategy Associate,22500,UP Diliman,Male,No,
1/23/2020 7:25:37,2018,Energy/Power,Project development - civil,18000,UPLB,Male,Yes,I negotiated an increase after 6 months written into the contract based on performance. Since then I have increased 60% of my first salary in 2 years
1/23/2020 7:58:48,2016,Education,English Teacher,30000,UP-Diliman,Female,No,I worked abroad (Vietnam). Housing was provided by the school I worked for.
1/23/2020 8:14:18,2016,FMCG,Management Trainee,75000,UP Diliman,Female,No,
1/23/2020 8:25:46,2018,Power ,Analyst,40000,UP Diliman,Female,No,They gave me more than my ask
1/23/2020 8:26:11,2018,Research,Field Interviewer,12000,UP Diliman,Female,No,"Worked 6 days a week interviewing in provinces, got P300 daily meal allowance. Company also paid for accomodations and matched my PhilHealth and SSS contributions. "
1/23/2020 8:38:40,2005,Sales,Account Officer,11000,ADMU,Female,No,"11k basic pay plus some allowances, total 15k"
1/23/2020 8:53:25,2017,Construction,Cost Engineer/Design Engineer/Field Engineer,15000,UPLB,Male,No,I am unlicensed and a fresh grad when I got my first job.
1/23/2020 9:18:35,2009,Benefits Tech,Junior Consultant,14000,Ateneo ,Male,No,
1/23/2020 9:21:15,2011,Education,Teacher,18000,Ateneo de Manila University,F,No,"18,000 was the gross pay "
